City,Job Title,Job Link,Company Name,Company Link,Location,Salary,Job Views,Time of Post,Job Description,Skills Required,Job Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Career Level,Minimum Experience,Apply Before,Posting Date
Islamabad,Senior WordPress Developer,https://www.rozee.pk/ninja-softs-pvt-limited-senior-wordpress-developer-kharianislamabadgujranwalagujratlahorerawalpindilalamusawah-cantt-jobs-1736112?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1736112&utm_campaign=ROZEE.PK_job_search,Ninja Softs (PVT) Limited,//www.rozee.pk/company/ninja-softs-pvt-limited,Multiple Cities,N/A,687 views,Posted 6 days ago,Null,"HTML5, CSS3, WP, WooCommerce, MySQL, Jquery",Information Technology,Software & Web Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Gujranwala, Lahore, Rawalpindi, Gujrat, Kharian, Wah Cantt, Lalamusa",No Preference,Bachelors,Experienced Professional,N/A,"Nov 08, 2025","Oct 23, 2025"
Islamabad,Customer Relations Officer (CRO),https://www.rozee.pk/customer-relations-officer-cro-islamabad-jobs-1741796?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741796&utm_campaign=ROZEE.PK_job_search,Abacus Outsourcing,javascript:;,Islamabad,"PKR. 37,000 - 37,000/Month",66 views,Posted 8 hours ago,Null,"Customer Service, Inbound Call Handling, Verbal Communication in English or Urdu, Familiarity with Hootsuite, Familiarity with Buffer, Team Collaboration, Customer Relations, BPO experience (advantageous)",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Scrum Master,https://www.rozee.pk/scrum-master-islamabad-jobs-1741782?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741782&utm_campaign=ROZEE.PK_job_search,Kemat consulting,javascript:;,Islamabad,"PKR. 300,000 - 300,000/Month",40 views,Posted 8 hours ago,Null,"Agile Software Development, Scrum facilitation, Sprint Planning, Daily Stand-ups, Sprint Review, Sprint Retrospective, Backlog Refinement, Coaching and Mentoring, Agile Mindset, Removing impediments, Stakeholder Management, JIRA, Confluence, Communication, Conflict Management",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Executive Channel Planning,https://www.rozee.pk/executive-channel-planning-islamabad-jobs-1741768?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741768&utm_campaign=ROZEE.PK_job_search,Zong,javascript:;,Islamabad,N/A,36 views,Posted 8 hours ago,Null,"Communnication Skills, Interpersonal Skills, Problem Solving Skills, Analytical Skills, Strong Business Knowledge, Strong grip on excel and PPTs, Excellent Problem Solving Skills",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Executive,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Assistant Manager Sales Operations,https://www.rozee.pk/assistant-manager-sales-operations-islamabad-jobs-1741766?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741766&utm_campaign=ROZEE.PK_job_search,Zong,javascript:;,Islamabad,N/A,46 views,Posted 8 hours ago,Null,"Strong Analytical Skills, Takes <br />
  Ownership, Strong <br />
  Follow up Skills, Team <br />
  Management, Effective <br />
  problem Solving Skills, Interpersonal <br />
  & Communication Skills  Self, Time <br />
  & Stress Management, Detailed <br />
  Understanding of Telecommunication, Well <br />
  versed with sales operation, Expertise <br />
  and domain level knowledge in process",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Mid-Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Executive Cost Analysis,https://www.rozee.pk/executive-cost-analysis-islamabad-jobs-1741764?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741764&utm_campaign=ROZEE.PK_job_search,Zong,javascript:;,Islamabad,N/A,26 views,Posted 8 hours ago,Null,"Experience of understanding user, Strong organization & project <br />
      management, Ability to handle high pressure <br />
      situations, Problem solving and Interpersonal <br />
      skills, Excellent teamwork skills and <br />
      desire to help, Must be highly proficient in <br />
      operating MS, PowerPoint, Word, Etc.)., Proficient in preparation of <br />
      reports, dashboards and documentation., Technical understanding of Network, Strong data and analytical skills",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Executive,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Executive International Business,https://www.rozee.pk/executive-international-business-islamabad-jobs-1741762?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741762&utm_campaign=ROZEE.PK_job_search,Zong,javascript:;,Islamabad,N/A,11 views,Posted 8 hours ago,Null,"Goal oriented with focus on deliverable, Able to manage multiple leads at a time., Time Management, self-driven attitude, Ability To Work Independently, Proficiency in IR network flows and anticipation, Understanding of network and charging problems, product configuration, Development, and system configuration.",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Executive,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Senior Executive Cloud Solutions,https://www.rozee.pk/senior-executive-cloud-solutions-islamabad-jobs-1741760?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741760&utm_campaign=ROZEE.PK_job_search,Zong,javascript:;,Islamabad,N/A,9 views,Posted 8 hours ago,Null,"and disaster recovery services., cloud platform UAT is plus., Databases, Security Services, and other SaaS-based solutions, Storage, Networking, Security, containers services, managed databases, And Other Related Services, Computing, Cloud Native technologies, Containers, Dockers, Kubernetes, Database management (SQL, MySQL, Oracle and etc.) disaster recovery services, and other related cloud services, PAAS, Effective Training and Development Capabilities, Strategic Thinking and Decision-Making Skills, Analytical and problem-solving abilities, Project Management And Coordination Skills, Proficiency in Research & Market Analysis, Example: AWS/Azure, Huawei, SAP, SaaS, المحاسبة للشركات, Google Cloud, Salesforce etc., Excellent Communication, Presentation, and negotiation skills., PaaS and SaaS services, Experience in defining cloud platform branding, Marketing Strategies",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Mid-Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Field Sales Executive,https://www.rozee.pk/smsami-field-sales-executive-islamabad-jobs-1741754?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741754&utm_campaign=ROZEE.PK_job_search,SMSAMI,//www.rozee.pk/company/smsami,Islamabad,"PKR. 40,000 - 80,000/Month",56 views,Posted 8 hours ago,Null,"Presentation Skills, Communication Skills, B2B Business Development, SaaS Software Command",Information Technology,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Bachelors,Entry Level,Fresh,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Trainee Engineer,https://www.rozee.pk/trainee-engineer-islamabad-jobs-1741738?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741738&utm_campaign=ROZEE.PK_job_search,Inbox Business Technologies,javascript:;,Islamabad,N/A,12 views,Posted 8 hours ago,Null,"Troubleshooting, Hardware, Software, Networking, Windows Operating Systems, Microsoft Office, Communication, Analytical Thinking, Problem-Solving",N/A,N/A,1 Post,First Shift (Day),Contract,Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
